Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
236,1709,87.00565338134766,77.68553161621094,30564
237,1710,86.36363983154297,76.82738494873047,30036
238,1711,85.71428680419922,75.66962432861328,30454
239,1712,85.71428680419922,75.84619903564453,30322
240,1713,85.71428680419922,75.67225646972656,30518
241,1714,86.36363983154297,76.61083984375,30956
242,1870,88.26815795898438,79.02825164794922,29944
243,1871,87.00565338134766,77.34041595458984,29303
244,1872,86.36363983154297,76.17965698242188,30065
245,1874,87.00565338134766,77.88566589355469,29886
246,1875,86.36363983154297,76.36109161376953,30391
247,1876,87.64044952392578,78.16053771972656,30074
248,1877,87.00565338134766,77.80770874023438,29975
249,1878,88.88888549804688,80.2310562133789,29914
250,3036,85.71428680419922,75.82881164550781,30293
251,3037,87.64044952392578,78.01739501953125,30452
252,3039,88.26815795898438,79.25341033935547,30263
253,3042,85.71428680419922,75.81079864501953,30830
254,3044,87.64044952392578,78.58149719238281,30180
255,3045,87.64044952392578,78.80632019042969,29566
256,3047,86.36363983154297,76.84423828125,30434
257,3048,87.00565338134766,77.40948486328125,29667
258,3119,87.00565338134766,77.8038330078125,30452
259,3122,87.00565338134766,77.43988037109375,29375
260,3125,87.64044952392578,78.38069152832031,29880
261,3126,86.36363983154297,76.47947692871094,28933
262,3127,87.64044952392578,78.32901000976562,29842
263,3128,86.36363983154297,76.7890396118164,30288
264,3129,87.64044952392578,78.34896850585938,29632
265,3130,87.00565338134766,77.75025177001953,30425
266,3131,86.36363983154297,76.66412353515625,30620
267,3134,87.64044952392578,78.86959838867188,30126
268,3135,85.71428680419922,75.87337493896484,29784
269,3136,87.64044952392578,78.46060943603516,29893
270,3137,85.71428680419922,75.90502166748047,30613
271,3138,87.64044952392578,78.3036880493164,30218
272,3140,87.64044952392578,78.99697875976562,29344
273,3141,85.71428680419922,75.2796630859375,30679
274,3142,87.64044952392578,78.28353118896484,30537
275,3145,85.0574722290039,74.42733001708984,30157
276,3147,87.00565338134766,77.94828796386719,30638
277,3148,85.71428680419922,75.77896118164062,30218
278,3149,87.00565338134766,77.99972534179688,30207
279,3150,86.36363983154297,76.18534851074219,29911
280,3152,87.00565338134766,77.0878677368164,29557
281,3154,87.64044952392578,78.61115264892578,29672
282,3188,87.00565338134766,77.09249877929688,30773
283,3189,87.64044952392578,78.38751220703125,29352
284,3190,87.64044952392578,78.76173400878906,30398
